instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,T1:status,T1:successful_repeats,T1:result,T2:status,T2:successful_repeats,T2:result,result_match,T1:matches_reference,T2:matches_reference,T1:wall_vs_Concorde_symmetric_change,T2:wall_vs_Concorde_symmetric_change,T1:wall_seconds,T2:wall_seconds,symmetric_change:wall_seconds,T1:branches,T2:branches,symmetric_change:branches
kroB100.tsp,ok,0.18441025167703629,22141.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroB150.tsp,ok,0.4672635402530432,26130.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroE100.tsp,ok,0.2567499540746212,22068.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr107.tsp,ok,0.16206598654389381,44303.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr136.tsp,ok,0.5381354987621307,96772.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr144.tsp,ok,0.2744617722928524,58537.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr152.tsp,ok,0.8584825918078423,73682.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr76.tsp,ok,0.21573120914399624,108159.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
qa194.tsp,ok,0.4701696112751961,9352.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
rat195.tsp,ok,2.8730149008333683,2323.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,
si175.tsp,ok,1.8025635667145252,21407.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,
u159.tsp,ok,0.1227664165198803,42080.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
xqf131.tsp,ok,0.3606609869748354,564.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
