repeat,configuration,instance,upper_bound,lower_bound,wall_seconds,heuristic_seconds,root_ascent_seconds,root_potential_iterations
1,lkh-worker,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1950.0,1949.6783331475706,0.069654,0.069654,0.0,0.0
1,provider-local-ascent,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1950.0,1949.6783331475706,0.283169,0.09006420799999999,0.189662375,334.0
1,provider-pi-replace,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1950.0,1949.3499976926923,0.09211491699999999,0.08931170799999999,1.7125e-05,0.0
1,provider-pi-warm16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1950.0,1949.3499976926923,0.10204237499999999,0.090901,0.007857875,16.0
1,lkh-exec,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3323.0,3322.999999998799,0.0032327919034287333,0.0032327919034287333,0.0,0.0
1,lkh-worker,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3323.0,3322.999999998799,0.001248,0.001248,0.0,0.0
1,provider-local-ascent,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3323.0,3322.999999998799,0.001417916,0.001281209,5.8875e-05,28.0
1,provider-pi-replace,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3323.0,3322.999999998899,0.00136775,0.00128025,3e-06,0.0
1,provider-pi-warm16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3323.0,3322.999999998899,0.001370458,0.001279041,7.875e-06,1.0
1,lkh-exec,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6110.0,6074.45119536792,0.04413783294148743,0.04413783294148743,0.0,0.0
1,lkh-worker,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6110.0,6074.45119536792,0.039661,0.039661,0.0,0.0
1,provider-local-ascent,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6110.0,6074.45119536792,0.180330667,0.074984833,0.104582625,294.0
1,provider-pi-replace,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6110.0,6074.619999904337,0.073075084,0.07199783300000001,2.4333e-05,0.0
1,provider-pi-warm16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6110.0,6074.619999904337,0.080900833,0.07272400000000001,0.007370125,16.0
1,lkh-exec,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch150.tsp,6528.0,6486.591891255397,0.06788599991705269,0.06788599991705269,0.0,0.0
1,lkh-worker,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch150.tsp,6528.0,6486.591891255397,0.064436,0.064436,0.0,0.0
1,provider-local-ascent,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch150.tsp,6528.0,6486.591891255397,0.25498175,0.1113265,0.142462375,300.0
1,provider-pi-replace,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch150.tsp,6528.0,6486.5499998695095,0.11042729099999998,0.10908949999999999,1.7625e-05,0.0
1,provider-pi-warm16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch150.tsp,6528.0,6486.5499998695095,0.1179115,0.108486209,0.008231333,16.0
1,lkh-exec,/Users/a/Ayanami/code/TSP/data/classic/tsplib/d198.tsp,15780.0,14528.554124756021,0.4017046249937266,0.4017046249937266,0.0,0.0
1,lkh-worker,/Users/a/Ayanami/code/TSP/data/classic/tsplib/d198.tsp,15780.0,14528.554124756021,0.395917,0.395917,0.0,0.0
1,provider-local-ascent,/Users/a/Ayanami/code/TSP/data/classic/tsplib/d198.tsp,15780.0,14528.554124756021,1.119937125,0.554549625,0.563838334,694.0
