comparison,factor,left,right,left_value,right_value,left_ok,right_ok,common_ok,left_only,right_only,result_agreements,result_mismatches,left_reference_checked,left_reference_mismatches,right_reference_checked,right_reference_mismatches,metric,paired_values,left_total,right_total,aggregate_relative_change,decreased,tied,increased
24,hk ascent、hk node ascent、hk update iterations,PPSD32,PS-PS64,hk ascent=polyak；hk node ascent=polyak-smoothed-dynamic；hk update iterations=32,hk ascent=polyak-smoothed；hk node ascent=polyak-smoothed；hk update iterations=16,41,40,40,bier127.tsp,,40,,41,,40,,branches,40,5183442.0,6071450.0,0.17131627980017905,8,10,22
24,hk ascent、hk node ascent、hk update iterations,PPSD32,PS-PS64,hk ascent=polyak；hk node ascent=polyak-smoothed-dynamic；hk update iterations=32,hk ascent=polyak-smoothed；hk node ascent=polyak-smoothed；hk update iterations=16,41,40,40,bier127.tsp,,40,,41,,40,,search_node_potential_updates_skipped_total,40,387346.0,266572.0,-0.3117987535691604,11,19,10
25,hk ascent、hk node ascent,PPSD32,PS32,hk ascent=polyak；hk node ascent=polyak-smoothed-dynamic,hk ascent=polyak-smoothed；hk node ascent=polyak,41,40,40,bier127.tsp,,40,,41,,40,,wall_seconds,40,3940.163453342393,3515.826801761985,-0.10769518995980953,24,0,16
25,hk ascent、hk node ascent,PPSD32,PS32,hk ascent=polyak；hk node ascent=polyak-smoothed-dynamic,hk ascent=polyak-smoothed；hk node ascent=polyak,41,40,40,bier127.tsp,,40,,41,,40,,branches,40,5183442.0,3987931.0,-0.23064037371306556,15,9,16
25,hk ascent、hk node ascent,PPSD32,PS32,hk ascent=polyak；hk node ascent=polyak-smoothed-dynamic,hk ascent=polyak-smoothed；hk node ascent=polyak,41,40,40,bier127.tsp,,40,,41,,40,,search_node_potential_updates_skipped_total,40,387346.0,276339.0,-0.28658357127735923,10,22,8
26,hk ascent、hk update iterations,PPSD32,PSD-PSD16,hk ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed-dynamic；hk update iterations=16,41,38,38,bier127.tsp;ch130.tsp;kroA150.tsp,,38,,41,,38,,wall_seconds,38,3504.0680109169334,2564.6464397087693,-0.2680945598890757,14,0,24
26,hk ascent、hk update iterations,PPSD32,PSD-PSD16,hk ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed-dynamic；hk update iterations=16,41,38,38,bier127.tsp;ch130.tsp;kroA150.tsp,,38,,41,,38,,branches,38,4909039.0,3991040.0,-0.18700177366690307,8,10,20
26,hk ascent、hk update iterations,PPSD32,PSD-PSD16,hk ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed-dynamic；hk update iterations=16,41,38,38,bier127.tsp;ch130.tsp;kroA150.tsp,,38,,41,,38,,search_node_potential_updates_skipped_total,38,385631.0,134873.0,-0.6502537399742241,9,18,11
27,hk ascent,PPSD32,PSD-PSD32,hk ascent=polyak,hk ascent=polyak-smoothed-dynamic,41,40,40,bier127.tsp,,40,,41,,40,,wall_seconds,40,3940.163453342393,3813.595882439986,-0.03212241634164725,20,0,20
27,hk ascent,PPSD32,PSD-PSD32,hk ascent=polyak,hk ascent=polyak-smoothed-dynamic,41,40,40,bier127.tsp,,40,,41,,40,,branches,40,5183442.0,3685356.0,-0.28901374800759805,17,10,13
27,hk ascent,PPSD32,PSD-PSD32,hk ascent=polyak,hk ascent=polyak-smoothed-dynamic,41,40,40,bier127.tsp,,40,,41,,40,,search_node_potential_updates_skipped_total,40,387346.0,134906.0,-0.6517170694934245,9,21,10
28,hk ascent、hk update iterations,PPSD32,PSD-PSD64,hk ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed-dynamic；hk update iterations=16,41,38,38,bier127.tsp;ch130.tsp;kroA150.tsp,,38,,41,,38,,wall_seconds,38,3504.0680109169334,2566.4406907372177,-0.26758251188576687,14,0,24
28,hk ascent、hk update iterations,PPSD32,PSD-PSD64,hk ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed-dynamic；hk update iterations=16,41,38,38,bier127.tsp;ch130.tsp;kroA150.tsp,,38,,41,,38,,branches,38,4909039.0,3991040.0,-0.18700177366690307,8,10,20
28,hk ascent、hk update iterations,PPSD32,PSD-PSD64,hk ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed-dynamic；hk update iterations=16,41,38,38,bier127.tsp;ch130.tsp;kroA150.tsp,,38,,41,,38,,search_node_potential_updates_skipped_total,38,385631.0,134873.0,-0.6502537399742241,9,18,11
29,hk ascent、hk node ascent,PPSD32,PSD32,hk ascent=polyak；hk node ascent=polyak-smoothed-dynamic,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak,41,40,40,bier127.tsp,,40,,41,,40,,wall_seconds,40,3940.163453342393,4037.4343773312867,0.024687027617186663,25,0,15
29,hk ascent、hk node ascent,PPSD32,PSD32,hk ascent=polyak；hk node ascent=polyak-smoothed-dynamic,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak,41,40,40,bier127.tsp,,40,,41,,40,,branches,40,5183442.0,3792607.0,-0.268322670534367,15,10,15
