tau,CPHKMST-P32-LKH,Concorde,GAPMST-P32-LKH-BP-ascent-strong,GAPMST-P32-LKH-BP-ascent-strong-lift2,GAPMST-P32-LKH-BP-ascent-strong-lift2-split2,GAPMST-P32-LKH-BP-ascent-strong-split2,GAPMST-P32-LKH-BP-base,GAPMST-P32-LKH-BP-lift2,GAPMST-P32-LKH-BP-lift2-split2,GAPMST-P32-LKH-BP-split2,GAPMST-P32-LKH-same
3.113289009080685,0.46,0.8,0.48,0.48,0.44,0.42,0.54,0.48,0.44,0.44,0.46
3.1213945200951634,0.46,0.8,0.48,0.5,0.44,0.42,0.54,0.48,0.44,0.44,0.46
3.1665148253525452,0.46,0.8,0.5,0.5,0.44,0.42,0.54,0.48,0.44,0.44,0.46
3.219541144150707,0.46,0.8,0.5,0.5,0.46,0.42,0.54,0.48,0.44,0.44,0.46
3.288657363494556,0.46,0.8,0.5,0.5,0.48,0.42,0.54,0.48,0.44,0.44,0.46
3.300199136857512,0.46,0.8,0.5,0.5,0.48,0.42,0.54,0.48,0.44,0.46,0.46
3.328271153731208,0.46,0.8,0.5,0.5,0.48,0.42,0.54,0.5,0.44,0.46,0.46
3.3301095442518682,0.46,0.8,0.5,0.5,0.48,0.42,0.56,0.5,0.44,0.46,0.46
3.344648764362919,0.46,0.8,0.5,0.5,0.48,0.44,0.56,0.5,0.44,0.46,0.46
3.373928334564703,0.46,0.8,0.5,0.5,0.48,0.44,0.56,0.5,0.44,0.46,0.48
3.3818291147126276,0.46,0.8,0.5,0.5,0.5,0.44,0.56,0.5,0.44,0.46,0.48
3.4265159975338446,0.46,0.8,0.5,0.5,0.5,0.44,0.56,0.5,0.44,0.46,0.5
3.4918960205432024,0.46,0.8,0.5,0.5,0.5,0.44,0.56,0.5,0.46,0.46,0.5
3.511296330151447,0.48,0.8,0.5,0.5,0.5,0.44,0.56,0.5,0.46,0.46,0.5
3.5529430046284745,0.48,0.8,0.5,0.5,0.5,0.44,0.56,0.52,0.46,0.46,0.5
3.6545455055429534,0.48,0.82,0.5,0.5,0.5,0.44,0.56,0.52,0.46,0.46,0.5
3.7055788577049866,0.5,0.82,0.5,0.5,0.5,0.44,0.56,0.52,0.46,0.46,0.5
