repeat,configuration,instance,lower_bound,upper_bound,instance_wall_seconds,root_ascent_seconds,root_potential_iterations
1,polyak64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1949.6639375154116,1950.0,0.058506584,0.037009125,64.0
1,polyak128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1949.6891562111866,1950.0,0.080769167,0.059296166,100.0
1,polyak-smoothed32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1949.4937252841507,1950.0,0.03907025,0.017673042,32.0
1,polyak-smoothed64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1949.6286615566153,1950.0,0.058227834,0.036791792,64.0
1,polyak-smoothed128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1949.6948613427605,1950.0,0.08063575,0.059464292,100.0
1,polyak-smoothed-dynamic32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1949.4854579574749,1950.0,0.038117167,0.0170545,32.0
1,polyak-smoothed-dynamic64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1949.626438714165,1950.0,0.058421208,0.037063042,64.0
1,polyak-smoothed-dynamic128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1949.705824225493,1950.0,0.08049525,0.05920625,100.0
1,helsgaun16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1949.3499976926923,1950.0,0.026440875,0.005532917,16.0
1,helsgaun32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1949.3499976926923,1950.0,0.032081666,0.011319042,32.0
1,helsgaun64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1949.3499976926923,1950.0,0.04379625,0.023165708,64.0
1,hybrid-reverse16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1949.3499976926923,1950.0,0.0347435,0.013056708,32.0
1,hybrid-reverse32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1949.5175955212753,1950.0,0.049239708,0.0281005,64.0
1,hybrid-reverse64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1949.6639375154116,1950.0,0.08020425,0.059044334,128.0
1,local-full,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1949.6783331475706,1950.0,0.172201875,0.151072709,334.0
1,replace,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3322.999999998899,3323.0,0.000112541,4.17e-07,0.0
1,polyak8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3322.999999998899,3323.0,0.000102834,5.583e-06,1.0
1,polyak16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3322.999999998899,3323.0,0.000117167,5.458e-06,1.0
1,polyak32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3322.999999998899,3323.0,9.8709e-05,4.958e-06,1.0
1,polyak64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3322.999999998899,3323.0,9.9167e-05,5.375e-06,1.0
1,polyak128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3322.999999998899,3323.0,0.000115458,5.167e-06,1.0
1,polyak-smoothed32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3322.999999998899,3323.0,0.000102583,5e-06,1.0
1,polyak-smoothed64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3322.999999998899,3323.0,0.000102125,5.625e-06,1.0
1,polyak-smoothed128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3322.999999998899,3323.0,9.8458e-05,5.375e-06,1.0
1,polyak-smoothed-dynamic32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3322.999999998899,3323.0,9.9416e-05,4.833e-06,1.0
