instance,configuration,baseline_ub,candidate_ub,ub_gain,baseline_wall_seconds,candidate_wall_seconds,wall_delta,root_guided_lk_improved,root_guided_lk_seconds,root_ascent_seconds,root_potential_iterations
data/classic/tsplib/rd100.tsp,root-alpha5,8069.0,8069.0,0.0,0.09112775,0.101393208,0.010265458000000005,0.0,0.004999959,0.075862333,523.0
data/classic/tsplib/si175.tsp,root-alpha5,21455.0,21451.0,4.0,0.24451325,0.254777416,0.010264165999999991,1.0,0.007208417,0.174351125,329.0
data/classic/tsplib/st70.tsp,root-alpha5,685.0,685.0,0.0,0.024899833,0.028342667,0.003442833999999999,0.0,0.002939084,0.019728208,385.0
data/classic/tsplib/swiss42.tsp,root-alpha5,1274.0,1273.0,1.0,0.004181542,0.005582416,0.0014008739999999999,1.0,0.001501083,0.002403416,153.0
data/classic/tsplib/u159.tsp,root-alpha5,43135.0,42738.0,397.0,0.2495945,0.252527833,0.0029333329999999824,1.0,0.004638209,0.191908333,484.0
data/classic/tsplib/ulysses16.tsp,root-alpha5,6859.0,6859.0,0.0,0.001414792,0.0019655,0.0005507079999999998,0.0,0.000510125,0.000221541,134.0
data/classic/vlsi/vlsi/xqf131.tsp,root-alpha5,582.0,582.0,0.0,0.171179833,0.177510041,0.006330208000000004,0.0,0.005391083,0.144423917,577.0
data/classic/national/dj38.tsp,root-alpha8,6656.0,6656.0,0.0,0.002272292,0.004431916,0.002159624,0.0,0.002107459,0.00075625,43.0
data/classic/national/qa194.tsp,root-alpha8,9695.0,9682.0,13.0,0.598124458,0.626362625,0.028238166999999925,1.0,0.026698625,0.411370875,617.0
data/classic/national/wi29.tsp,root-alpha8,27603.0,27603.0,0.0,0.0019035,0.003449583,0.001546083,0.0,0.001544417,0.000646,71.0
data/classic/tsplib/att48.tsp,root-alpha8,10648.0,10648.0,0.0,0.009596917,0.012731625,0.003134708,0.0,0.0031855,0.005467208,214.0
data/classic/tsplib/bayg29.tsp,root-alpha8,1610.0,1610.0,0.0,0.002360083,0.003465709,0.0011056260000000002,0.0,0.001169167,0.000821875,137.0
data/classic/tsplib/bays29.tsp,root-alpha8,2020.0,2020.0,0.0,0.002626458,0.004224834,0.0015983760000000003,0.0,0.001677292,0.000882166,125.0
data/classic/tsplib/berlin52.tsp,root-alpha8,7542.0,7542.0,0.0,0.004966833,0.008531917,0.0035650839999999996,0.0,0.003621125,0.002207875,57.0
data/classic/tsplib/bier127.tsp,root-alpha8,120414.0,120414.0,0.0,0.142593708,0.159449542,0.016855833999999986,0.0,0.011290833,0.114693334,422.0
data/classic/tsplib/brazil58.tsp,root-alpha8,25395.0,25395.0,0.0,0.015824125,0.018684291,0.0028601659999999973,0.0,0.002731,0.009370125,220.0
data/classic/tsplib/brg180.tsp,root-alpha8,1960.0,1960.0,0.0,0.175002208,0.187960209,0.012958000999999997,0.0,0.011230167,0.151391917,334.0
data/classic/tsplib/burma14.tsp,root-alpha8,3323.0,3323.0,0.0,0.000570333,0.001471625,0.000901292,0.0,0.000917042,4.85e-05,28.0
data/classic/tsplib/ch130.tsp,root-alpha8,6235.0,6235.0,0.0,0.190898959,0.207449541,0.01655058199999998,0.0,0.011866417,0.158102292,578.0
data/classic/tsplib/ch150.tsp,root-alpha8,6636.0,6636.0,0.0,0.281948125,0.303278792,0.021330667000000025,0.0,0.010423167,0.243225584,600.0
data/classic/tsplib/d198.tsp,root-alpha8,15989.0,15929.0,60.0,0.643623583,0.682652792,0.039029208999999954,1.0,0.02068875,0.518638,694.0
